"","occupation","occup"
"1","administrator","Drama"
"2","artist","Drama"
"3","doctor","Drama"
"4","educator","Drama"
"5","engineer","Drama"
"6","entertainment","Drama"
"7","executive","Drama"
"8","healthcare","Drama"
"9","homemaker","Drama"
"10","lawyer","Drama"
"11","librarian","Drama"
"12","marketing","Drama"
"13","none","Action"
"14","other","Drama"
"15","programmer","Drama"
"16","retired","Drama"
"17","salesman","Drama"
"18","scientist","Drama"
"19","student","Drama"
"20","technician","Drama"
"21","writer","Drama"
