"","Var1","Freq"
"1","",37
"2","ALLEYESNORTH",1
"3","ALLSTAR",3
"4","AMERICANIDOL",1
"5","APUESTAS",1
"6","APUESTASKRONNE",2
"7","ARTWO",1
"8","B",1
"9","BAHIS",1
"10","BANCA",1
"11","BASKETBALL",3
"12","BASQUET",2
"13","BET",1
"14","BETON",1
"15","BETTING",2
"16","BILLRUSSELLBDAYGIVEAWAY",1
"17","BLAZERS",1
"18","BOLETINNBA",1
"19","BOSTON",3
"20","BOSTONCELTICS",1
"21","BOXSEATS",1
"22","BREAKINGNEWS",1
"23","BROOKLYN",2
"24","BUCKS",1
"25","BULLS",2
"26","BUZZCITY",2
"27","CAREER",1
"28","CBB",1
"29","CELTICS",10
"30","CLIPPERS",2
"31","CLIPPERSNATION",1
"32","COURTSIDE",1
"33","CRICKET",1
"34","CRYPTOCURRENCY",1
"35","DAILYFANTASY",1
"36","DAMANDAMYTHDALEGENDJOSEPH",2
"37","DCFAMILY",1
"38","DESTINATIONS",1
"39","DETROITBASKETBALL",2
"40","DETROITPISTONS",2
"41","DFS",30
"42","DIRECTA",1
"43","DRAFTKINGS",5
"44","DRAYMONDGREEN",1
"45","ELITEMAFIA",1
"46","ESPN",2
"47","EXPERTPICKS",1
"48","FANART",1
"49","FANDUEL",4
"50","FANTASY",1
"51","FEARTHEDEER",5
"52","FOLLOBACK",1
"53","FREEBETUNIBET",1
"54","FREEPICK",1
"55","FREEPICKS",8
"56","GOLDENSTATEWARRIORS",1
"57","GORANDRAGIC",1
"58","GPP",1
"59","GRE",4
"60","GREGMONROE",2
"61","GRINDCITY",1
"62","GUARANTEEDPICK",1
"63","HEATCULTURE",4
"64","HEATNATION",2
"65","HERETHEYCOME",2
"66","HORNETS",1
"67","IDDAA",1
"68","INJURY",6
"69","ITTAKESEVERYTHING",1
"70","JAZZ",1
"71","JOAKIMNOAH",1
"72","KEVINDURANT",1
"73","KEYTHREE",1
"74","KJREPORTS",1
"75","KLAYTHOMPSON",1
"76","KNICKS",2
"77","LAKERS",2
"78","LARRYNASSAR",1
"79","LEAHVALDOWSKI",1
"80","LEBRON",2
"81","LEBRONJAMES",1
"82","LETLARRYDUNK",2
"83","LETSROLL",1
"84","LINEUP",2
"85","LINEUPS",1
"86","LOSANGELES",3
"87","LUREFRIDAYS",2
"88","MEMPHIS",2
"89","MIA",1
"90","MIAMIHEAT",1
"91","MLB",4
"92","MYNBA",1
"93","NBA",192
"94","NBAALLSTAR",6
"95","NBAART",1
"96","NBADFS",3
"97","NBAEXTRANATION",2
"98","NBAJP",2
"99","NBAPICKS",2
"100","NBAXWAPA",2
"101","NETS",1
"102","NFL",2
"103","NHL",11
"104","NYKNICKS",1
"105","ONFIRE",1
"106","OTRR",10
"107","PACERS",1
"108","PARLEYGRATIS",1
"109","PHO",1
"110","PICK",2
"111","PICKS",1
"112","PRONOSTICOS",2
"113","PUREMAGIC",1
"114","RAPTORS",1
"115","RASUALBUTLER",1
"116","REQUESTABET",1
"117","REVITALIZE",1
"118","ROCKETS",1
"119","RUGBYUNION",1
"120","RUMORROUNDUP",1
"121","SABADODEGANARSEGUIDORES",1
"122","SANANTONIO",1
"123","SIGUEMEYTESIGO",1
"124","SPORTS",1
"125","SPORTSBETTING",9
"126","SPORTSPICKS",1
"127","SPREAKER",1
"128","SPURS",1
"129","STATUS",1
"130","STEPHCURRY",1
"131","SUITELIFE",1
"132","SUNS",1
"133","SUPERBOWL",2
"134","SYNDICATES",2
"135","TAHMIN",1
"136","TEAMPARIEUR",2
"137","TENNIS",1
"138","THEJUMP",2
"139","TIPS",2
"140","TIPSTER",1
"141","TOPVALUEPLAYS",2
"142","TOURSAJA",1
"143","TRUETOATLANTA",2
"144","TRUSTTHEPROCESS",2
"145","TWITTERSPORTS",1
"146","UEFA",1
"147","UFC",1
"148","VALUE",1
"149","VERIZONDUNK",1
"150","VIDEO",2
"151","VIERNESDEGANARSEGUIDORES",1
"152","VIP",1
"153","VOZDELFANATICO",2
"154","WAGER",1
"155","WARRIORS",1
"156","WEEKEND",2
"157","WETHENORTH",1
