"","usernames","Freq"
"1","",12
"2","adonis_dees",2
"3","aki_hunny",1
"4","alacontra",1
"5","All_SportNews",2
"6","AndreDrummond",2
"7","ApuestasKronne",1
"8","ASAP_SportsNews",1
"9","ASidobre",2
"10","ATLHawks",1
"11","Basketball_Show",1
"12","BasketDVines",6
"13","bballbreakdown",3
"14","BF",4
"15","BlackAndOutside",1
"16","BrianSwane",1
"17","Bruce_Lamb",1
"18","Bucks",2
"19","camisa_",1
"20","CBsyndicates",1
"21","celtics",1
"22","CharlesOakley",1
"23","chichongo",1
"24","coachenew",1
"25","ColossusBets",2
"26","CullerSports",2
"27","DannaHanashiro",1
"28","DannyBSports",1
"29","darwindunlap",1
"30","DavidDunn",2
"31","dfs_nick",1
"32","DFSfromDan",1
"33","diarioas",1
"34","DiarioOle",1
"35","don_buster",2
"36","Double",1
"37","draftcheat",1
"38","DraftKings",1
"39","drgator",1
"40","efsanebahiscom",1
"41","ELOSSports",1
"42","ericsports",7
"43","espn",1
"44","ESPN",1
"45","ESPNNBA",1
"46","FanDuel",1
"47","FanduelHoopster",1
"48","FanRagSports",1
"49","FantasyDraft",3
"50","FanViceDFS",1
"51","five_pronos",1
"52","FnAshow",1
"53","followAdamA",1
"54","ForwardMileNBA",3
"55","FPDFS",1
"56","FRSHoopz",1
"57","Gazzetta_NBA",1
"58","globatalent",1
"59","GSSportsTweets",1
"60","hawksbet",8
"61","HawksOnFSSE",1
"62","HipHopWired",1
"63","hispanosnba",1
"64","Hoops_Bucks",1
"65","HoustonRockets",2
"66","JeffKCollins",1
"67","jfalagan_NBA",1
"68","JHarden",1
"69","JoakimNoah",1
"70","kareem_thecoach",1
"71","KareemRush",1
"72","KingJames",3
"73","kobebryant",1
"74","LaNuestraRadio",1
"75","Larrydn",2
"76","lukewright",1
"77","MiamiHEAT",2
"78","MSGNetworks",1
"79","NapeTime",1
"80","NBA",4
"81","NBA_VAVEL",1
"82","nbaextra",3
"83","NBAItalia",1
"84","NBAJPN",2
"85","news",1
"86","NicksSportCards",1
"87","nyknicks",2
"88","ochoafacundo",1
"89","OnTheRotoRadar",16
"90","OrlandoMagic",1
"91","otgbasketball",1
"92","PaniniAmerica",1
"93","pickoffsports_",1
"94","playboicarti",1
"95","PlayDraft",1
"96","ProCityHoops",1
"97","RealBillRussell",1
"98","RequestABet",1
"99","RotoradarCEO",10
"100","RotoRadarCEO",7
"101","russwest",1
"102","SacramentoKings",1
"103","SHAQ",1
"104","ShipMyMoneyDFS",1
"105","sixers",2
"106","SkySport",1
"107","smitchell",3
"108","SpectrumSN",2
"109","Sportags",1
"110","sportsbetaid",1
"111","SportsOnTheGo",1
"112","SportsStockInc",1
"113","spurs",1
"114","StephensonLance",2
"115","superboss",1
"116","teamflightbro",1
"117","The",1
"118","the_",1
"119","thebigmoves",1
"120","TheSportsDegens",2
"121","TitosVodka",1
"122","Topps",1
"123","TSN",1
"124","UnibetFrance",1
"125","USPORTSca",1
"126","VicOladipo",1
"127","W",2
"128","Wapa",2
"129","warriors",3
"130","WingspanSports",1
"131","WinwinP",1
"132","wojespn",2
